particip_code,pred_trialN,pred_Cond,pred_Cont,pred_Cat,pred_Obj,pred_predictedValue,pred_acc,pred_rt,rec_trialN,rec_session,rec_trialType,rec_Cond,rec_Cat,rec_Obj,rec_response,rec_acc,rec_rt,rec_respConf,rec_rtConf,rec_respCont
27,1,4,5,HouseObjects,key,2,1,0.939354820176959,185,1,old,4,HouseObjects,key,1,1,2.36637049727142,4,0.28001781925559,1
27,2,1,3,HouseObjects,handvacuum,1,0,1.42178366798908,362,2,old,1,HouseObjects,handvacuum,1,1,1.47138591943076,4,0.800262867298443,2
27,3,4,6,FruitsAndVegs,greenolive,3,1,0.624190527014434,259,2,old,4,FruitsAndVegs,greenolive,0,0,1.92525408740039,4,0.344303884339752,1
27,4,4,5,HouseObjects,thread,2,1,0.802478123921901,302,2,old,4,HouseObjects,thread,0,0,1.4996633976989,2,0.000100708071840927,2
27,5,2,4,Instruments,grandpiano2,1,1,0.660904390271753,192,1,old,2,Instruments,grandpiano2,0,0,1.07019929634407,4,0.00820514187216759,4
27,6,3,4,HouseObjects,iron2,1,0,0.519317507278174,86,1,old,3,HouseObjects,iron2,1,1,0.882986847311258,2,1.09336920781061,1
27,7,4,4,Instruments,drums,1,1,0.657815796323121,17,1,old,4,Instruments,drums,1,1,2.67193833831698,6,1.12316692899913,5
27,8,3,6,HouseObjects,pitcher2,3,0,0.796056541148573,269,2,old,3,HouseObjects,pitcher2,0,0,1.01005477044964,4,1.0117607137654,2
27,9,4,6,FruitsAndVegs,kiwi2,3,1,0.718654052820057,326,2,old,4,FruitsAndVegs,kiwi2,1,1,1.16396492152126,3,0.299568975897273,1
27,10,3,5,Instruments,hihat2,2,0,0.64115887414664,11,1,old,3,Instruments,hihat2,1,1,3.52918144548312,6,1.62851808732376,4
27,11,3,5,Instruments,frenchhorn2,2,0,0.483379480428994,131,1,old,3,Instruments,frenchhorn2,0,0,1.11211501993239,6,0.49400482326746,4
27,12,4,4,Instruments,laud,1,1,0.773716669529676,218,2,old,4,Instruments,laud,0,0,NaN,6,0.508880751702236,6
27,13,4,4,Instruments,trumpet,1,1,0.70498469658196,333,2,old,4,Instruments,trumpet,0,0,3.7027835517365,3,0.265766024356708,3
27,14,1,1,FruitsAndVegs,garlic2,1,0,1.06789744319394,212,2,old,1,FruitsAndVegs,garlic2,1,1,2.70003396490938,2,3.18243138139951,3
27,15,1,2,FruitsAndVegs,leek,2,0,0.926506844349205,379,2,old,1,FruitsAndVegs,leek,0,0,NaN,2,5.74836325334036,6
27,16,4,4,Instruments,keyboard,1,1,0.680765047669411,84,1,old,4,Instruments,keyboard,1,1,2.10596829978749,2,1.94545407313854,3
27,17,1,1,HouseObjects,dustpan,3,0,0.643342699389905,231,2,old,1,HouseObjects,dustpan,0,0,1.62354490472353,5,0.803733126173029,5
27,18,2,5,HouseObjects,knife,2,1,0.765755921602249,209,2,old,2,HouseObjects,knife,0,0,1.09665184162441,1,0.459577096655266,2
27,19,1,2,Instruments,marimba,1,1,0.784249001648277,215,2,old,1,Instruments,marimba,1,1,1.09949091108865,1,0.544574384926818,1
27,20,4,5,HouseObjects,sponge,2,1,0.714574413839728,199,2,old,4,HouseObjects,sponge,0,0,1.40112279873574,4,3.36264397803461,4
27,21,3,4,FruitsAndVegs,cherrytomato,1,0,0.796971573960036,155,1,old,3,FruitsAndVegs,cherrytomato,0,0,0.946946412790567,4,1.1466331910342,5
27,22,3,6,Instruments,laud2,3,0,0.695257066749036,214,2,old,3,Instruments,laud2,0,0,0.906361061497591,2,1.87225791017408,1
27,23,1,1,HouseObjects,recyclingbin,2,1,1.29762729909271,286,2,old,1,HouseObjects,recyclingbin,0,0,2.87001763674198,4,0.0575472838827409,2
27,24,2,4,Instruments,panflute2,1,1,0.62000536872074,188,1,old,2,Instruments,panflute2,0,0,1.39380895532668,3,0.393348071724176,4
27,25,4,6,FruitsAndVegs,lettuce2,3,1,0.614440767094493,365,2,old,4,FruitsAndVegs,lettuce2,1,1,1.45499840760021,6,0.321337313333061,3
27,26,1,2,Instruments,harmonica2,2,0,1.07285779668018,120,1,old,1,Instruments,harmonica2,1,1,1.88289864780381,4,1.82370186829939,4
27,27,4,6,FruitsAndVegs,casabamelon,3,1,0.659946381114423,74,1,old,4,FruitsAndVegs,casabamelon,1,1,1.2609788631089,5,0.723312282003462,6
27,28,4,5,HouseObjects,safetypin,2,1,0.806600098963827,187,1,old,4,HouseObjects,safetypin,1,1,1.60450113750994,6,1.06868322286755,5
