"","participant","trial_index","trial_cond","scn_file","scn_cat","scn_inst","scn_condition","fillers","obj_cat","obj_cat_num","obj_file","quadrant","corr_ans","key_resp_trial.keys","key_resp_trial.rt","trial_acc","trial_acc_manual","group"
"1",77,1,0.7,"stim/22.jpeg",2,2,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/ironingboard2.png",3,"left","",NA,0,0,0
"2",77,2,0.5,"stim/64.jpeg",6,4,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",3,"left","",NA,0,0,0
"3",77,3,0.9,"stim/43.jpeg",4,3,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/rubbergloves2.png",2,"left","left",0.686000109,1,1,0
"4",77,4,0.9,"stim/42.jpeg",4,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/remote2.png",2,"left","left",0.621000051,1,1,0
"5",77,5,0.9,"stim/43.jpeg",4,3,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/rubbergloves2.png",1,"left","left",0.724000216,1,1,0
"6",77,6,0.5,"stim/63.jpeg",6,3,1,NA,"Instruments",2,"stim/objects/Instruments/musicstand.png",1,"right","right",0.678000212,1,1,0
"7",77,7,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,"stim/objects/Instruments/panflute.png",3,"right","right",0.732000351,1,1,0
"8",77,8,0.7,"stim/21.jpeg",2,1,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/iron2.png",2,"left","left",0.703000307,1,1,0
"9",77,9,0.5,"stim/54.jpeg",5,4,1,NA,"Instruments",2,"stim/objects/Instruments/marimba.png",3,"right","left",0.728000164,0,0,0
"10",77,10,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,"stim/objects/Instruments/panflute.png",2,"right","",NA,0,0,0
"11",77,11,0.9,"stim/33.jpeg",3,3,3,NA,"Instruments",2,"stim/objects/Instruments/musicstand2.png",1,"right","right",0.668000221,1,1,0
"12",77,12,0.9,"stim/33.jpeg",3,3,3,NA,"Instruments",2,"stim/objects/Instruments/musicstand2.png",2,"right","right",0.563000202,1,1,0
"13",77,13,0.7,"stim/14.jpeg",1,4,2,NA,"Instruments",2,"stim/objects/Instruments/record_player.png",3,"right","left",0.677000284,0,0,0
"14",77,14,0.9,"stim/42.jpeg",4,2,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/remote2.png",1,"left","left",0.723000288,1,1,0
"15",77,15,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,"stim/objects/Instruments/panflute.png",2,"right","right",0.676000357,1,1,0
"16",77,16,0.7,"stim/21.jpeg",2,1,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/iron2.png",1,"left","left",0.603000164,1,1,0
"17",77,17,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,"stim/objects/Instruments/oboe2.png",4,"right","right",0.690000057,1,1,0
"18",77,18,0.7,"stim/21.jpeg",2,1,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/iron2.png",1,"left","left",0.588000298,1,1,0
"19",77,19,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,"stim/objects/Instruments/oboe2.png",2,"right","left",0.815000057,0,0,0
"20",77,20,0.5,"stim/63.jpeg",6,3,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/pan.png",1,"left","",NA,0,0,0
"21",77,21,0.7,"stim/12.jpeg",1,2,2,NA,"Instruments",2,"stim/objects/Instruments/pipepiano.png",1,"right","right",0.795000076,1,1,0
"22",77,22,0.3,"stim/22.jpeg",2,2,2,NA,"Instruments",2,"stim/objects/Instruments/laud2.png",3,"right","left",0.588000059,0,0,0
"23",77,23,0.7,"stim/23.jpeg",2,3,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/key2.png",4,"left","left",0.571000099,1,1,0
"24",77,24,0.9,"stim/31.jpeg",3,1,3,NA,"Instruments",2,"stim/objects/Instruments/metronome2.png",2,"right","right",0.607000113,1,1,0
"25",77,25,0.7,"stim/22.jpeg",2,2,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/ironingboard2.png",4,"left","left",0.590000153,1,1,0
"26",77,26,0.7,"stim/13.jpeg",1,3,2,NA,"Instruments",2,"stim/objects/Instruments/record.png",2,"right","right",0.539000034,1,1,0
"27",77,27,0.5,"stim/63.jpeg",6,3,1,NA,"Instruments",2,"stim/objects/Instruments/musicstand.png",3,"right","right",0.605000257,1,1,0
"28",77,28,0.9,"stim/32.jpeg",3,2,3,NA,"Instruments",2,"stim/objects/Instruments/musicsheet2.png",4,"right","right",0.596000195,1,1,0
"29",77,29,0.5,"stim/64.jpeg",6,4,1,NA,"HouseObjects",1,"stim/objects/HouseObjects/pitcher.png",3,"left","right",0.555000305,0,0,0
"30",77,30,0.5,"stim/52.jpeg",5,2,1,NA,"Instruments",2,"stim/objects/Instruments/laud.png",2,"right","right",0.815000057,1,1,0
"31",77,31,0.3,"stim/12.jpeg",1,2,2,NA,"HouseObjects",1,"stim/objects/HouseObjects/remote.png",2,"left","right",0.732000113,0,0,0
"32",77,32,0.9,"stim/41.jpeg",4,1,3,NA,"HouseObjects",1,"stim/objects/HouseObjects/recyclingbin2.png",1,"left","left",0.787000179,1,1,0
"33",77,33,0.9,"stim/34.jpeg",3,4,3,NA,"Instruments",2,"stim/objects/Instruments/oboe2.png",4,"right","right",0.511000156,1,1,0
"34",77,34,0.3,"stim/23.jpeg",2,3,2,NA,"Instruments",2,"stim/objects/Instruments/maraca2.png",2,"right","right",0.675000191,1,1,0
"35",77,35,0.9,"stim/31.jpeg",3,1,3,NA,"Instruments",2,"stim/objects/Instruments/metronome2.png",3,"right","right",0.637000322,1,1,0
"36",77,36,0.5,"stim/64.jpeg",6,4,1,NA,"Instruments",2,"stim/objects/Instruments/oboe.png",1,"right","right",0.784000158,1,1,0
"37",77,37,0.7,"stim/11.jpeg",1,1,2,NA,"Instruments",2,"stim/objects/Instruments/panflute.png",3,"right","left",0.527000189,0,0,0
"38",77,38,0.3,"stim/21.jpeg",2,1,2,NA,"Instruments",2,"stim/objects/Instruments/keyboard2.png",4,"right","",NA,0,0,0
